Topic,Partition,Offset,Timestamp,Key,Value
ansible_logs,0,534,2025-04-16 12:46:54.303,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:46:54.303211"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""Gathering Facts"", ""host"": ""developer.example.com""}"
ansible_logs,0,535,2025-04-16 12:46:54.310,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:46:54.309465"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""Gathering Facts"", ""host"": ""prometheus.example.com""}"
ansible_logs,0,536,2025-04-16 12:46:59.327,Ansible,"{""event"": ""task_ok"", ""timestamp"": ""2025-04-16T12:46:59.326594"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""Gathering Facts"", ""host"": ""api.example.com""}"
ansible_logs,0,537,2025-04-16 12:46:59.370,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:46:59.369582"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""Make sure yum-utils are installed"", ""host"": ""prometheus.example.com""}"
ansible_logs,0,538,2025-04-16 12:47:22.540,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:47:22.539963"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""update the system"", ""host"": ""developer.example.com""}"
ansible_logs,0,539,2025-04-16 12:47:34.197,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:47:34.198340"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""check to see if we need a reboot"", ""host"": ""developer.example.com""}"
ansible_logs,0,540,2025-04-16 12:47:34.207,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:47:34.205789"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""check to see if we need a reboot"", ""host"": ""prometheus.example.com""}"
ansible_logs,0,541,2025-04-16 12:47:36.817,Ansible,"{""event"": ""task_start"", ""timestamp"": ""2025-04-16T12:47:36.818086"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""wait for the system to reboot"", ""host"": ""prometheus.example.com""}"
ansible_logs,0,542,2025-04-16 12:47:36.820,Ansible,"{""event"": ""task_skipped"", ""timestamp"": ""2025-04-16T12:47:36.821046"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""wait for the system to reboot"", ""host"": ""api.example.com""}"
ansible_logs,0,543,2025-04-16 12:47:36.820,Ansible,"{""event"": ""task_skipped"", ""timestamp"": ""2025-04-16T12:47:36.821746"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""wait for the system to reboot"", ""host"": ""developer.example.com""}"
ansible_logs,0,544,2025-04-16 12:47:36.827,Ansible,"{""event"": ""task_skipped"", ""timestamp"": ""2025-04-16T12:47:36.827725"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""wait for the system to reboot"", ""host"": ""prometheus.example.com""}"
ansible_logs,1,554,2025-04-16 12:46:55.417,Ansible,"{""event"": ""task_ok"", ""timestamp"": ""2025-04-16T12:46:55.416654"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""Gathering Facts"", ""host"": ""developer.example.com""}"
ansible_logs,1,555,2025-04-16 12:46:55.513,Ansible,"{""event"": ""task_ok"", ""timestamp"": ""2025-04-16T12:46:55.513698"", ""playbook"": ""unix_patch_dev.yml"", ""task"": ""Gathering Facts"", ""host"": ""prometheus.example.com""}"
